contract,paths,time
306,1,0.212225
307,1,0.350214
308,1,0.219028
309,1,0.088884
310,1,0.214610
311,1,0.079477
312,1,0.111898
313,1,0.107039
314,1,0.095060
315,1,0.210299
316,1,0.214003
317,1,0.080475
318,1,0.238077
319,1,0.211315
320,1,0.212545
321,1,0.086788
322,1,0.083320
323,1,0.211305
324,1,0.220826
325,1,0.002314
326,1,0.210517
327,1,0.089741
328,1,0.213061
329,1,0.211578
330,1,0.216751
331,1,0.216886
332,1,0.085302
333,1,18.753587
334,1,0.212087
335,1,0.209743
336,1,0.211541
337,1,0.208919
338,1,0.219538
339,1,0.223051
340,1,0.223390
341,1,0.216618
342,1,0.208238
343,1,0.211760
344,1,0.222621
345,1,0.215253
346,1,0.218532
347,1,0.219250
348,1,0.216711
349,1,0.209753
350,1,0.086314
351,1,0.221647
352,1,19.864648
353,1,0.223036
354,1,19.409254
355,1,0.215161
356,1,0.086914
357,1,0.097893
358,1,32.162448
359,1,0.002308
360,1,0.211980
361,1,0.326802
362,1,0.082913
363,1,0.082372
364,1,0.220165
365,1,0.089367
366,1,0.228355
367,1,0.212758
368,1,0.208149
369,1,0.209840
370,1,0.295713
371,1,0.213700
372,1,0.226301
373,1,0.211512
374,1,0.325847
375,1,0.216489
376,1,0.084030
377,1,0.088045
378,1,0.080409
379,1,0.211817
380,1,0.092057
381,1,0.210543
382,1,0.209937
383,1,0.217358
384,1,0.213723
385,1,0.220060
386,1,0.221304
387,1,0.216352
388,1,0.210693
389,1,0.209070
390,1,0.229602
391,1,0.210956
392,1,0.216299
393,1,0.209273
394,1,0.098889
395,1,0.214701
396,1,0.077245
397,1,0.217964
398,1,0.213165
399,1,0.225527
400,1,0.079395
401,1,0.214676
402,1,0.214532
403,1,0.101323
404,1,0.212414
405,1,0.218423
406,1,0.084190
407,1,0.400106
408,1,0.079868
409,1,0.214710
410,1,0.209009
411,1,0.002758
412,1,0.177016
413,1,0.219702
414,1,0.209513
415,1,0.229943
416,1,0.209526
417,1,0.211713
418,1,0.211389
419,1,0.216396
420,1,0.220361
421,1,0.213276
422,1,0.209002
423,1,0.221219
424,1,0.211190
425,1,0.214155
426,1,0.226118
427,1,0.216306
428,1,0.221390
429,1,0.213563
430,1,0.086861
431,1,0.211387
432,1,0.212532
433,1,0.089037
434,1,0.082770
435,1,0.210888
436,1,0.210835
437,1,0.081900
438,1,0.208656
439,1,0.078985
440,1,0.209529
441,1,0.219403
442,1,0.215549
443,1,0.211306
444,1,0.085338
445,1,0.226625
446,1,0.211047
447,1,0.087176
448,1,0.218000
449,1,0.212232
450,1,0.219299
451,1,0.227099
452,1,0.212034
453,1,0.095672
454,1,0.215415
455,1,0.210515
456,1,0.213612
457,1,0.219889
458,1,0.109153
459,1,0.214163
460,1,0.002421
461,1,0.209264
462,1,0.185578
463,1,0.088460
464,1,0.209227
465,1,0.216592
466,1,0.220792
467,1,0.308625
468,1,0.212847
469,1,0.079986
470,1,0.221818
471,1,0.095367
472,1,0.217196
473,1,0.080748
474,1,0.210868
475,1,0.211689
476,1,0.103612
477,1,0.221471
478,1,0.217860
479,1,0.219894
480,1,0.218260
481,1,0.209237
482,1,0.085479
483,1,0.087421
484,1,0.217657
485,1,0.216068
486,1,0.085147
487,1,0.213237
488,1,0.209177
489,1,0.220925
490,1,0.223729
491,1,0.221710
492,1,0.083838
493,1,0.096757
494,1,0.212560
495,1,0.370965
496,1,0.085687
497,1,0.216749
498,1,0.094126
499,1,0.078956
500,1,0.211619
501,1,0.214246
502,1,0.081570
503,1,0.213696
504,1,0.216339
505,1,0.083110
506,1,0.213173
507,1,0.083503
508,1,0.081898
509,1,0.107085
510,1,0.089808
511,1,0.217531
512,1,0.210993
513,1,0.221338
514,1,0.090186
515,1,0.220926
516,1,0.210311
517,1,0.210793
518,1,0.222150
519,1,0.232056
520,1,0.177242
521,1,0.217955
522,1,1801.063698
523,1,0.223097
524,1,0.087867
525,1,0.210308
526,1,0.219413
527,1,0.218106
528,1,0.143379
529,1,0.213681
530,1,0.214897
531,1,0.085511
532,1,0.213953
533,1,0.211264
534,1,0.212850
535,1,0.211454
536,1,0.173153
537,1,0.088126
538,1,0.080127
539,1,0.216269
540,1,0.209510
541,1,0.210253
542,1,0.211308
543,1,0.206944
544,1,0.211482
545,1,0.209714
546,1,0.220444
547,1,0.214626
548,1,0.085969
549,1,0.081530
550,1,0.215692
551,1,0.209548
552,1,0.213173
553,1,0.225790
554,1,0.209547
555,1,0.087258
556,1,0.099898
557,1,0.209839
558,1,0.225638
559,1,0.212809
560,1,0.213511
561,1,0.100719
562,1,0.109926
563,1,0.081771
564,1,0.214555
565,1,0.215638
566,1,0.228405
567,1,0.211962
568,1,0.228317
569,1,0.221702
570,1,0.231606
571,1,0.002564
572,1,0.218364
573,1,0.219687
574,1,0.210382
575,1,0.210531
576,1,0.082957
577,1,0.210891
578,1,0.085513
579,1,0.220936
580,1,0.213928
581,1,0.087545
582,1,0.213758
583,1,0.156034
584,1,0.207869
585,1,0.219741
586,1,0.225331
587,1,0.218580
588,1,0.093218
589,1,0.090510
590,1,0.002441
591,1,0.216535
592,1,0.091415
593,1,0.217368
594,1,0.217977
595,1,0.216592
596,1,0.214183
597,1,0.212345
598,1,0.218596
599,1,1800.175584
600,1,0.077750
601,1,0.222269
602,1,0.212203
603,1,0.426699
604,1,0.219436
605,1,0.079781
606,1,0.222343
607,1,0.002283
608,1,0.235169
609,1,0.221420
610,1,0.225898
611,1,0.205092
612,1,0.228352
613,1,0.233382
614,1,0.096785
615,1,0.211548
616,1,0.213242
617,1,0.210912
618,1,0.215615
619,1,0.211839
620,1,0.218759
621,1,0.214363
622,1,0.084932
623,1,0.081977
624,1,0.218636
625,1,0.086530
626,1,0.212027
627,1,0.083155
628,1,0.211268
629,1,0.537981
630,1,0.213699
631,1,0.089911
632,1,0.220150
633,1,0.212147
634,1,0.210664
635,1,0.079222
636,1,0.217491
637,1,0.214221
638,1,0.084744
639,1,1805.106631
640,1,0.228006
641,1,0.215738
642,1,0.085511
643,1,0.093935
644,1,0.213130
645,1,0.207628
646,1,0.227898
647,1,0.221155
648,1,0.214782
649,1,18.203865
650,1,0.091945
651,1,0.396093
652,1,0.097294
653,1,0.215896
654,1,0.082571
655,1,0.213610
656,1,0.122506
657,1,0.215260
658,1,0.218211
659,1,0.080070
660,1,0.210503
661,1,0.116612
662,1,0.225327
663,1,0.086943
664,1,0.222865
665,1,0.218624
666,1,0.214408
667,1,0.218881
668,1,0.225858
669,1,0.224507
670,1,0.217558
671,1,0.213675
672,1,0.209557
673,1,0.227762
674,1,0.210134
675,1,0.219212
676,1,0.213325
677,1,0.216304
678,1,0.213646
679,1,0.214041
680,1,0.216817
681,1,0.371483
682,1,0.101777
683,1,0.217704
684,1,0.087210
685,1,0.227055
686,1,0.085207
687,1,0.219745
688,1,0.223775
689,1,0.208781
690,1,0.230185
691,1,0.219596
692,1,0.087848
693,1,0.001873
694,1,0.216384
695,1,0.097799
696,1,0.215424
697,1,0.208356
698,1,0.210069
699,1,0.076661
700,1,0.217745
701,1,0.159650
702,1,0.082436
703,1,0.207278
704,1,0.223495
705,1,0.099755
706,1,0.218331
707,1,0.089535
708,1,0.211864
709,1,0.213661
710,1,0.214155
711,1,0.212691
712,1,0.218665
713,1,0.209895
714,1,0.213878
715,1,0.211699
716,1,0.208222
717,1,0.216895
718,1,0.210824
719,1,0.211966
720,1,0.220058
721,1,0.090393
722,1,0.209097
723,1,0.212051
724,1,0.219611
725,1,0.215410
726,1,0.208847
727,1,0.216491
728,1,0.002401
729,1,0.085192
730,1,0.210786
731,1,0.216444
732,1,0.224324
733,1,0.218535
734,1,0.214183
735,1,0.096171
736,1,0.215361
737,1,0.208681
738,1,0.215408
739,1,0.211949
740,1,0.217069
741,1,0.002681
742,1,0.223539
743,1,0.002307
744,1,0.213415
745,1,0.213985
746,1,0.219175
747,1,0.212068
748,1,0.222334
749,1,0.210357
750,1,0.214454
751,1,0.217330
752,1,0.220622
753,1,0.220799
754,1,0.213800
755,1,0.102666
756,1,0.216024
757,1,0.214263
758,1,0.215016
759,1,0.291605
760,1,0.212159
761,1,0.091713
762,1,0.218792
763,1,0.162804
764,1,0.210361
765,1,0.217347
766,1,0.217163
767,1,0.210602
768,1,0.211058
769,1,0.208287
770,1,0.080882
771,1,0.247795
772,1,0.093223
773,1,0.216930
774,1,0.092746
775,1,0.217802
776,1,0.217915
777,1,0.217791
778,1,0.215917
779,1,0.212053
780,1,0.090091
781,1,0.217001
782,1,0.114738
783,1,0.101575
784,1,0.214515
785,1,0.208221
786,1,0.212596
787,1,0.092886
788,1,0.219208
789,1,0.213494
790,1,0.212875
791,1,0.083000
792,1,0.083924
793,1,0.211902
794,1,0.230665
795,1,0.211820
796,1,0.223481
797,1,0.214294
798,1,0.212213
799,1,0.214728
800,1,0.218369
801,1,0.209949
802,1,0.212213
803,1,0.620826
804,1,0.209356
805,1,0.213225
806,1,0.209852
