txid worth
0x85f295878762026a87677574b83470392b97a6391477a8200de747afbc08dc4b 80000000000000000000.000000
0x5179f7be7f48d9164ab1ec165d9aa58c5f72892d42ec6deef9d1fa0d26462206 80000000000000000000.000000
0x74a6f72617c0d0349c6d4a87890e051f147a8d016e768952368d09d85afe70a6 80000000000000000000.000000
0x05046a6532f873866b16dc632d955242b69bcfd30c93f96c3baf950aa5cd158f 80000000000000000000.000000
0xe86cc2bf92611aa07e3c572a89d14e654c9bb545b100e47ff471d1fd1a6b8272 80000000000000000000.000000
0xf610915a5ac50fd43ff878a9592db5a96b53569826aa476dcd9b1337fdeea2de 80000000000000000000.000000
0x1fd59ef672d2378b958ca0483505ecedcb2922c5f57e07544961d5ff8bcc2c6a 80000000000000000000.000000
0x8647328b0e0d719bc63b386eea14f023dce284a4195b5df853e0771b6e9305b8 75000000000000000000.000000
0x2cdefcbf5fb5e99a1ee6a58fbf9c8a93de39c1397566920b942960e6c6047517 40000000000000000000.000000
0xcc418a9ad309aa6c9ea742ad090f9d3c46c1a953c068910ebe6da9593cf515c3 16000000000000000000.000000
0x43cbef46ad1f2975104f16d2da015393293184486c4a4eaafb7d4cef339938a6 11000000000000000000.000000
0x43cbef46ad1f2975104f16d2da015393293184486c4a4eaafb7d4cef339938a6 11000000000000000000.000000
0xd18afb7f8c996789d37ddaed36a39dc5a8d79252f796db98b71829d114cb09f0 10000000000000000000.000000
0xacab5051f5f3023aadd8cf96c3f555d72ebc16470da50fe5080eb110ab2aa3ed 10000000000000000000.000000
0x39ed52a3a3ab08502cd6d9a25816565ab9e07b61f1b7e1fc65a5e013c1cbc898 10000000000000000000.000000
0xb080b92931bb17c5c24682f4ab5ac0b706ca6f7aa41f4d76bb784283fb0a955a 10000000000000000000.000000
0x796e76cdbf7e5257d2190a2b5d0dfaab618d4ff8da01b8addd242c7555238b9c 10000000000000000000.000000
0xfb928d833037a8c857885e9f97a2f76836312bfe33f8b5b898bb15d46e668ace 10000000000000000000.000000
0x3b7efa64baa8f0c61edddb205f742b7dafab8feae4febc1073e73bae8ba587e2 10000000000000000000.000000
