Frequency, Chain
5, POP SWAP1 SWAP2 JUMPDEST SSTORE SWAP1 OR
5, POP POP POP POP POP POP SWAP6 SWAP7 JUMPDEST
5, POP POP POP POP POP POP SWAP6 SWAP7 SWAP4 POP JUMPDEST SWAP2 ADD DUP3 AND
5, POP POP SWAP2 SWAP3 JUMPDEST SHA3 SWAP1 ADD SWAP2 SWAP1 SUB SWAP1 DUP2 SWAP1 MLOAD DUP2 MSTORE SWAP1 DUP4 ADD DUP2
5, POP POP SWAP2 SWAP3 AND
5, SWAP2 POP SWAP2 POP POP POP POP POP SWAP5 SWAP4 POP JUMPDEST SWAP2 ADD DUP3 AND
5, POP POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP2
5, POP POP JUMPDEST POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP1 DUP5 SWAP1
5, POP POP POP POP JUMPDEST SSTORE SWAP1 OR DUP4 AND NOT
5, JUMPDEST SSTORE SWAP1 AND NOT MUL
5, POP POP POP POP POP POP POP POP POP POP POP JUMPDEST SSTORE SWAP1 ADD
5, POP POP POP POP POP POP POP JUMPDEST SSTORE ADD SHA3 SWAP2 SWAP1
5, POP POP POP POP SWAP4 SWAP5 POP JUMPDEST JUMPDEST
5, POP POP LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
5, POP POP JUMPDEST RETURN SWAP1 ADD
4, POP POP JUMPDEST SSTORE SWAP1 SUB SWAP1 DUP3 SLOAD DUP1
4, POP POP POP POP JUMPDEST POP POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
4, POP POP JUMPDEST POP SSTORE POP SWAP1 SWAP2 ADD
4, POP SWAP1 SWAP2 JUMPDEST EQ
4, POP POP SSTORE SWAP1 OR MUL EXP
4, POP POP SWAP2 SWAP3 POP POP JUMPDEST POP SWAP3 SSTORE SWAP1 AND DUP5
4, JUMPDEST SSTORE SWAP1 OR CALLER AND NOT SUB EXP
4, SWAP1 JUMPDEST NUMBER
4, POP POP JUMPDEST POP POP SSTORE SWAP1 AND NOT SUB EXP
4, POP SSTORE SWAP1 OR SWAP2 SWAP1 SWAP2 AND SWAP3 SWAP1 SUB EXP
4, POP SWAP7 SWAP4 SWAP1 SWAP9 SWAP6 SWAP3 POP SWAP9 SWAP6 SWAP3 POP DUP1 POP SWAP1 SLOAD POP
4, POP POP POP POP SSTORE SWAP1 OR
4, DUP14 POP SWAP1 AND
4, POP POP POP LOG1 SWAP1 ADD SWAP2 SWAP1 SUB SWAP1 DUP2 SWAP3
4, SWAP11 SWAP10 SWAP9 SWAP8 SWAP7 SWAP6 SWAP5 SWAP4 SWAP3 SWAP2 SWAP1 POP POP POP POP SWAP4 SWAP3 POP SWAP6 SWAP4 SLOAD
4, POP SWAP1 SWAP2 JUMPDEST JUMPDEST JUMPDEST
4, POP POP POP POP JUMPDEST SSTORE SWAP1 OR ADD
4, POP SWAP1 SWAP2 POP JUMPDEST POP POP JUMPDEST
4, SWAP1 MLOAD POP JUMPDEST
4, POP POP POP LOG2
4, POP POP POP SSTORE SWAP2 SWAP1 OR SWAP3 SWAP1 AND NOT
4, POP POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3
4, POP POP POP POP POP POP POP SSTORE SWAP1 OR MUL DIV MUL DUP2 SWAP1 EXP
4, POP SWAP1 SWAP2 OR MUL NUMBER
4, SSTORE SWAP1 OR SWAP2 SWAP1 AND NOT
4, POP SWAP1 SWAP2 SLOAD SHA3 SWAP1
4, POP SWAP3 POP SWAP5 SWAP2 SWAP6 SWAP3 POP POP POP POP POP POP POP SWAP7 SWAP4 POP JUMPDEST SWAP2 ADD DUP3 AND
4, SWAP2 POP SWAP2 POP JUMPDEST JUMPDEST
4, SWAP1 POP POP SSTORE SWAP1 AND NOT SUB EXP
4, POP POP SWAP2 SWAP3 SSTORE SWAP1 OR CALLER AND NOT
4, POP POP JUMPDEST JUMPDEST JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
4, Missing
4, POP POP POP POP POP POP POP POP JUMPDEST POP POP POP
4, SWAP2 SWAP1 JUMPDEST POP DUP1 POP SWAP1 SLOAD POP
4, POP POP POP POP SWAP4 SWAP5 POP POP SWAP2 EQ SLOAD POP
4, POP POP SWAP2 SWAP3 JUMPDEST POP SWAP1 JUMPDEST
4, POP SWAP1 SWAP2 POP POP JUMPDEST JUMPDEST
4, POP POP POP SWAP3 SWAP4 POP POP POP JUMPDEST POP POP JUMPDEST POP SWAP6
4, POP JUMPDEST SSTORE SWAP1 OR MUL DUP4 EXP
4, POP POP JUMPDEST POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3
4, POP POP POP POP JUMPDEST JUMPDEST JUMPDEST
4, POP POP POP JUMPDEST LOG1 SWAP1 ADD
4, POP POP POP POP SWAP4 SWAP5 POP POP POP POP CALL SUB GAS
4, POP POP POP POP POP POP POP POP POP POP JUMPDEST JUMPDEST JUMPDEST JUMPDEST JUMPDEST POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
4, POP SWAP1 SWAP2 POP JUMPDEST POP DUP2 POP SWAP2 POP POP POP POP POP JUMPDEST SWAP2 ADD DUP3 AND
4, POP JUMPDEST SSTORE SWAP1 ADD SWAP2 SWAP1 SLOAD DUP1
4, POP POP POP POP POP POP POP POP POP POP SWAP10 SWAP11 SHA3 SWAP1 ADD SUB SWAP1 DUP3 SWAP2 MLOAD SWAP1 MSTORE SWAP2 SWAP1 SWAP2 ADD DUP5 MSTORE DUP6 SWAP2 SSTORE
4, SWAP1 SLOAD
4, POP JUMPDEST POP POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
4, POP JUMPDEST LOG2
4, POP POP POP SWAP3 SWAP4 POP JUMPDEST POP SWAP2 JUMPDEST
4, SSTORE SWAP1 OR SWAP2 SWAP1 SWAP2 AND SWAP3 SWAP1
4, POP POP POP POP SWAP4 SWAP5 POP POP POP POP POP POP JUMPDEST POP SWAP7
4, SWAP1 JUMPDEST MSTORE
4, POP POP POP POP POP SSTORE SWAP1 OR SWAP2 SWAP1 SWAP2 AND SWAP3 SWAP1 SWAP3
4, POP POP POP POP SWAP4 SWAP5 POP JUMPDEST RETURN SWAP1 SUB SWAP2 DUP1 MLOAD
4, POP JUMPDEST JUMPDEST JUMPDEST JUMPDEST POP SSTORE SWAP1 DUP2 POP POP SWAP3 ADD SLOAD POP DUP3 DUP3 DUP3
4, POP POP POP POP POP SSTORE SWAP1 OR MUL DIV SWAP1 EXP
4, POP SWAP7 SWAP4 SWAP1 SWAP9 SWAP6 SWAP3 POP SWAP9 SWAP6 SWAP3 POP SWAP1 SLOAD ADD
4, SWAP4 SWAP2 POP SWAP4 SWAP2 POP POP POP POP POP POP SWAP6 SWAP4 POP JUMPDEST SWAP2 ADD DUP3 AND
4, POP POP POP JUMPDEST SSTORE SWAP1 ADD DUP3 SLOAD DUP1 SHA3 MSTORE DUP2 AND DUP6 SUB EXP
4, POP POP POP POP JUMPDEST SSTORE SWAP1 OR AND SWAP2 SWAP1 NOT
4, POP SWAP1 SWAP2 POP POP POP JUMPDEST POP JUMPDEST JUMPDEST
4, POP POP POP POP POP POP SWAP6 SWAP7 POP POP JUMPDEST
4, POP POP JUMPDEST SSTORE SWAP1 OR DUP3 AND NOT SUB EXP
4, POP POP POP JUMPDEST POP POP SSTORE SWAP1 SUB SWAP2 SWAP1 SWAP2 SLOAD DUP1
4, JUMPDEST SSTORE SWAP1 OR CALLER AND NOT
4, POP POP JUMPDEST POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP1 BALANCE AND ADDRESS SWAP2
4, POP POP POP POP POP SWAP5 SWAP6 SUB SWAP3 SWAP1 SWAP3 SLOAD SWAP3 JUMPDEST
4, POP POP POP JUMPDEST LOG2 SWAP1 SUB SWAP2 DUP1 MLOAD
4, SWAP1 POP SWAP1 POP POP POP POP JUMPDEST
4, POP SWAP1 SWAP2 JUMPDEST SSTORE DUP2 DUP2
4, POP SWAP1 SWAP2 POP JUMPDEST SWAP1 SUB SLOAD ADD SWAP3 SWAP1 SHA3 SWAP4 SWAP1 SWAP3 MSTORE DUP6 SLOAD ADD DUP4
4, JUMPDEST SSTORE SWAP1 OR TIMESTAMP AND NOT
4, POP POP POP JUMPDEST SSTORE DUP2 OR EXP
4, POP POP JUMPDEST SSTORE SHA3 DUP2
4, POP LOG1 DUP1 SWAP1
4, SWAP1 POP SWAP1 JUMPDEST GT SUB NUMBER SLOAD POP
4, SWAP1 DIV MUL ADD DUP3 SUB SWAP2 SWAP1 SWAP2 TIMESTAMP SLOAD
4, POP SWAP1 SWAP2 JUMPDEST JUMPDEST POP DUP1 POP SWAP1
4, POP POP POP POP POP POP POP POP POP POP POP POP SWAP12 SWAP13 SHA3 SWAP2 SWAP1 POP CALL ADD
4, POP SWAP1 SWAP2 JUMPDEST ADD DUP2
4, POP POP POP POP POP POP POP LOG0 SWAP1
4, POP SWAP7 SWAP5 SWAP3 SWAP1 SWAP8 SWAP6 SWAP4 SWAP2 POP JUMPDEST POP POP POP POP POP SWAP6 SWAP4 POP JUMPDEST SWAP2 ADD DUP3 AND
4, POP LOG2 SWAP2
4, POP POP POP POP POP POP POP POP POP POP POP POP POP POP CALL SUB GAS
4, POP LOG1 SWAP1 SWAP2
4, SWAP1 POP SWAP1 JUMPDEST
4, POP JUMPDEST JUMPDEST JUMPDEST JUMPDEST JUMPDEST
4, POP SWAP1 SWAP2 POP JUMPDEST POP DUP2 POP SWAP2 DUP1 JUMPDEST JUMPDEST JUMPDEST JUMPDEST JUMPDEST POP DUP1 POP SWAP1 SLOAD POP
4, POP SWAP1 SWAP2 POP JUMPDEST SWAP1 AND SUB EXP
4, SWAP1 POP POP POP SWAP3
4, POP POP POP POP POP JUMPDEST JUMPDEST POP POP POP POP POP SWAP4 CALL DUP9 DUP9 DUP6 DUP2 SUB DUP4 DUP1 MLOAD
4, POP POP POP POP POP JUMPDEST POP SSTORE SWAP1 DUP2 POP
4, POP SWAP1 SWAP2 JUMPDEST POP POP SWAP2 AND SUB EXP
4, POP POP POP SWAP3 SWAP4 JUMPDEST POP SWAP1 JUMPDEST
4, POP POP POP SWAP3 SWAP4 POP POP POP POP JUMPDEST POP SWAP5
4, POP POP POP POP POP POP JUMPDEST RETURN SWAP1 ADD
4, POP POP POP POP SSTORE
4, DUP3 SWAP2
4, POP POP POP POP POP POP SWAP6 SWAP7 EQ SWAP2 SWAP1 MOD MOD SWAP2 SWAP1 SWAP2 ADD
3, POP SWAP1 SWAP2 JUMPDEST POP POP SWAP2 AND
3, SWAP1 ADD MUL SWAP2 SWAP1 SWAP2
3, POP SWAP6 SWAP3 POP SWAP8 SWAP5 SWAP2 SWAP9 SWAP6 SWAP3 POP DUP1 POP SWAP1 AND
3, POP POP SSTORE
3, POP POP POP POP POP SWAP5 SWAP6 JUMPDEST POP POP POP POP JUMPDEST
3, POP POP POP JUMPDEST SSTORE SWAP1 DUP3 SHA3 SWAP1
3, POP POP POP POP POP POP POP SWAP7 SWAP8 SWAP3 POP
3, POP POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP1 DUP4 SWAP1 SWAP2 AND SWAP2 SWAP1 SWAP2 SUB EXP
3, POP SWAP1 SWAP2 POP POP POP POP JUMPDEST POP SWAP5 MSTORE ADD DUP3
3, POP POP JUMPDEST SSTORE SWAP1 SUB SWAP1 DUP4 SLOAD DUP1
3, POP POP SSTORE SWAP1 OR DUP4 AND NOT
3, POP POP POP JUMPDEST POP POP JUMPDEST RETURN POP POP POP SWAP4 POP CALL
3, SWAP1 JUMPDEST POP SWAP1 MUL
3, POP POP POP POP SSTORE SWAP1 DUP2 SHA3 SWAP1 MSTORE SWAP2 SWAP1
3, POP POP POP POP SWAP4 SWAP6 POP SWAP6 JUMPDEST POP SWAP2
3, POP POP JUMPDEST POP POP POP SSTORE POP
3, DUP4 SWAP1 SWAP2 AND SUB EXP
3, POP POP POP POP SWAP4 SWAP5 EQ SLOAD SHA3 SWAP1
3, SSTORE SWAP1
3, POP SWAP1 SWAP2 POP POP POP POP POP JUMPDEST POP SWAP6 SLOAD DUP4 JUMPDEST RETURN SWAP1 ADD
3, POP POP POP LOG3 SWAP1 ADD
3, POP SWAP1 SWAP2 POP JUMPDEST POP SWAP2 JUMPDEST
3, POP SSTORE ADD DUP3
3, POP POP POP POP POP POP POP POP JUMPDEST SSTORE SWAP1 OR
3, POP POP SSTORE SWAP1 SUB SWAP1 DUP3 SLOAD DUP1 SHA3 SWAP1
3, POP POP POP POP JUMPDEST POP POP LOG3 SWAP1 SUB SWAP2 DUP1 MLOAD
3, POP POP SSTORE SWAP1 ADD DUP3 SLOAD DUP1 ADD
3, POP POP JUMPDEST LOG4 SWAP1 SUB SWAP2 DUP1 MLOAD
3, POP POP POP POP POP POP SWAP6 SWAP7 SWAP2 POP MSTORE SWAP3 SWAP1 SWAP2 POP POP POP JUMPDEST SWAP2 ADD DUP3 AND
3, POP POP POP JUMPDEST JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
3, JUMPDEST POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP1 BALANCE AND SWAP2 SWAP1 ADDRESS SWAP3 AND DUP2 SWAP1 SUB EXP
3, POP SWAP1 SWAP2 POP POP POP POP POP POP POP LOG1 SWAP1 ADD
3, POP LOG2 SWAP1 ADD
3, SWAP1 JUMPDEST SUB NUMBER SLOAD
3, SWAP1 SLOAD ADD SHA3 SWAP1
3, POP POP POP POP SWAP4 SWAP5 JUMPDEST SSTORE DUP2 ADD DUP2 SLOAD DUP1
3, POP POP POP POP POP SWAP5 SWAP6 POP POP POP POP POP POP JUMPDEST POP SWAP7
3, POP POP POP POP POP POP POP POP POP SSTORE SWAP1 SUB SWAP2 SWAP1 SWAP2 SLOAD DUP1 POP
3, JUMPDEST POP POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
3, POP JUMPDEST POP POP POP POP CALL SUB GAS
3, POP POP POP POP POP POP JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
3, POP JUMPDEST POP SSTORE POP SWAP1 SWAP2 ADD
3, SWAP1 JUMPDEST POP JUMPDEST RETURN SWAP1 ADD
3, POP SWAP3 POP SWAP5 SWAP2 SWAP6 SWAP3 POP POP JUMPDEST POP DUP3 POP SWAP3 BALANCE AND
3, POP POP POP POP POP POP POP POP POP SWAP9 SWAP10 AND
3, DUP3 ADD DUP2
3, DUP9 SWAP1 AND SUB EXP
3, POP SWAP1 SWAP2 POP POP POP JUMPDEST POP SWAP4 SLOAD DUP2 JUMPDEST RETURN SWAP1 ADD
3, DUP4 SWAP1 ADD DUP3
3, POP POP POP JUMPDEST RETURN SWAP1 ADD
3, POP POP POP JUMPDEST LOG4 SWAP1 SUB SWAP2 DUP1 MLOAD
3, SWAP2 POP SWAP2 POP POP POP POP JUMPDEST POP DUP5 POP SWAP5 POP POP POP POP POP JUMPDEST
3, POP POP SWAP2 SWAP3 POP LOG1 POP SWAP2 ADD SWAP2 SWAP1 SUB SWAP1 DUP2 SWAP1 POP SWAP5
3, DUP6 SWAP2 AND DIV SWAP1
3, POP POP POP POP SWAP4 POP SWAP6 SWAP1 SWAP7 SWAP1 MLOAD ADD SWAP2 SWAP1 SWAP2
3, POP SWAP1 SWAP2 POP SWAP1 POP POP POP POP JUMPDEST RETURN SWAP1 SUB SWAP2 DUP1 MLOAD
3, SSTORE SWAP1 OR SWAP2 SWAP1 SWAP2 DIV SWAP3 SWAP1 EXP
3, POP POP SWAP2 SWAP3 POP JUMPDEST SSTORE SWAP1 OR CALLER AND NOT
3, POP POP POP POP POP POP POP JUMPDEST SSTORE ADD SWAP2 SLOAD ADD DUP3 SWAP2
3, POP POP POP POP POP JUMPDEST POP SSTORE SWAP1 ADD SWAP2 SWAP1 SLOAD DUP1
3, POP LOG2 SWAP1 SWAP2
3, POP POP POP JUMPDEST RETURN SWAP1 SUB SWAP2 DUP1 MLOAD
3, POP POP SWAP2 SWAP3 POP SSTORE SWAP1 OR DUP4 AND NOT
3, POP POP SWAP2 SWAP3 POP JUMPDEST POP POP JUMPDEST RETURN SWAP1 ADD
3, SWAP1 SLOAD ADD
3, POP POP SWAP2 SWAP3 JUMPDEST POP SWAP1 POP POP POP POP JUMPDEST
3, POP POP JUMPDEST SSTORE SWAP1 DUP2 ADD
3, POP POP POP LOG3 SWAP1
3, POP POP SSTORE SWAP2 SWAP1 OR SWAP3 SWAP1 AND NOT
3, POP POP SWAP2 SWAP3 JUMPDEST POP POP SWAP2 SSTORE SWAP3 SWAP1 ADD SWAP3 SWAP1 SLOAD DUP4 SSTORE SWAP5 SWAP1 OR DUP8 AND SWAP6 SWAP1 SLOAD DUP1 SHA3 DUP3 SWAP2 MSTORE SWAP1 DUP6 SWAP5
3, POP POP POP JUMPDEST POP POP SSTORE SWAP1 DUP2 POP POP SWAP3 ADD SLOAD POP DUP3 DUP3 DUP3
3, SSTORE ADD
3, POP POP JUMPDEST LOG2 SWAP1 ADD SUB SWAP1 DUP3 SWAP2 SWAP3
3, POP POP SWAP2 SWAP3 JUMPDEST SSTORE SWAP1 ADD CALLVALUE SLOAD DUP1
3, SWAP1 JUMPDEST POP SWAP1 POP POP POP POP POP JUMPDEST SWAP2 ADD DUP3 AND
3, POP POP LOG2 SWAP1 ADD SUB SWAP1 DUP3 SWAP1 SWAP3
3, POP POP POP POP POP POP POP POP POP POP POP SWAP11 SWAP12
3, POP POP LOG4 SWAP1
3, POP POP POP POP POP POP LOG0 SWAP1
3, POP POP POP SWAP3 SWAP4 POP POP POP POP POP JUMPDEST POP SWAP6
3, DUP5 POP SWAP3 SWAP2 POP SWAP5 AND SWAP4 SWAP1 SWAP4 SUB EXP
3, POP POP SWAP2 SWAP3 POP JUMPDEST POP SSTORE SWAP1 OR MUL DIV SWAP1 EXP
3, JUMPDEST POP POP POP JUMPDEST RETURN SWAP1 SUB SWAP2 DUP1 MLOAD
3, SWAP1 POP JUMPDEST POP SWAP2 DUP1 POP SWAP1 JUMPDEST
3, POP POP SWAP2 SWAP3 POP POP POP JUMPDEST DUP3 SSTORE SWAP1 CALLVALUE SHA3 SWAP4 SWAP1
3, POP SWAP1 SWAP2 MSTORE ADD DUP3
3, POP POP POP POP JUMPDEST POP POP POP SSTORE POP SWAP1 SWAP2 ADD
3, POP POP JUMPDEST POP SSTORE SWAP1 DUP2 POP SWAP1 SWAP2 ADD
3, POP JUMPDEST POP EQ AND
3, POP POP POP POP POP SWAP5 SWAP6 POP POP JUMPDEST
3, POP POP SWAP2 SWAP3 JUMPDEST RETURN SWAP1 ADD
3, SSTORE SWAP1 MOD MUL SWAP2 SWAP1 SWAP3 SSTORE SWAP5 SWAP1 XOR SHA3 SWAP7 SWAP1 ADD
3, DUP5 AND SWAP2 AND DUP2 DIV SWAP3 SWAP1
3, POP POP POP POP JUMPDEST LOG3 SWAP1 SWAP2
3, POP POP LOG1 SWAP1 ADD SWAP2 SWAP1 SUB SWAP1 DUP2 SWAP3
3, POP POP POP POP POP LOG0 SWAP1 ADD
3, JUMPDEST JUMPDEST JUMPDEST JUMPDEST
3, POP SWAP1 SWAP2 JUMPDEST POP JUMPDEST
3, POP POP POP POP POP SWAP5 SWAP6 POP POP POP POP POP POP POP JUMPDEST
3, POP POP POP POP POP POP SWAP6 SWAP7 MLOAD SWAP4 POP POP CALLDATACOPY DUP5 DUP3 DUP1 SWAP1 DUP5 SWAP2 DUP3 SWAP3 ADD DUP6 SWAP1 SWAP4 SWAP2 SWAP5
3, POP SWAP1 SWAP2 POP POP POP JUMPDEST SSTORE SHA3 DUP2
3, JUMPDEST POP POP POP POP POP
3, POP POP POP POP POP POP POP POP POP POP POP JUMPDEST SSTORE ADD SWAP2 SWAP1
3, POP POP SWAP2 SWAP3 JUMPDEST POP SWAP1 JUMPDEST LT SLOAD ADD
3, POP POP SWAP2 SWAP3 POP JUMPDEST POP SWAP2 DUP1 JUMPDEST
3, POP POP POP POP POP POP POP SWAP7 SWAP8 JUMPDEST RETURN SWAP1 ADD
3, POP POP POP POP POP POP POP POP
3, POP POP SWAP2 SWAP3 POP POP POP POP POP CALL SUB GAS
3, POP JUMPDEST JUMPDEST JUMPDEST POP SSTORE SWAP1 DUP2 POP POP SWAP3 ADD SLOAD POP DUP3 DUP3 DUP3
3, POP POP SWAP2 SWAP3 JUMPDEST POP JUMPDEST
3, POP SWAP1 SWAP2 POP POP SWAP2 MLOAD ADD MUL
3, POP SWAP1 SWAP2 POP POP POP JUMPDEST POP POP JUMPDEST RETURN SWAP1 ADD
3, POP POP POP POP POP JUMPDEST LOG4 SWAP2
3, POP POP POP SSTORE POP
3, POP POP POP POP POP JUMPDEST SSTORE SWAP1 ADD SWAP2 SWAP1 SLOAD DUP1
3, POP POP SWAP2 SWAP3 JUMPDEST SSTORE SWAP1 OR SWAP2 SWAP1 SWAP2 AND SWAP3 ADD DUP5 AND DUP2
3, POP POP SWAP2 SWAP3 JUMPDEST SSTORE SWAP1 ADD DUP4 SLOAD DUP1 SHA3 DUP2 MSTORE DUP3 AND DUP5
3, POP POP JUMPDEST SSTORE SWAP1 OR ADD DUP4 AND SWAP2 SWAP1 SUB EXP
3, POP POP POP POP POP POP POP SWAP7
3, POP SWAP1 SWAP2 POP POP POP POP POP POP POP SWAP7 SHA3 SWAP1 SUB SWAP2 DUP1 MLOAD
3, POP POP POP JUMPDEST POP POP POP POP CALL SUB GAS
3, SWAP1 MLOAD JUMPDEST POP POP POP POP POP POP POP SWAP7 SWAP5 POP CALLDATACOPY DUP5 DUP3 DUP1 DUP3 DUP4 ADD DUP5 SWAP1 DUP2 SWAP1 SWAP2 ADD DUP5 SWAP2 SWAP3 SWAP1 SWAP4
3, POP POP SWAP2 SWAP3 POP JUMPDEST POP SWAP2 JUMPDEST
3, POP POP JUMPDEST SSTORE SWAP1 OR
3, POP SWAP1 SWAP2 JUMPDEST ADD NOT
3, POP POP SSTORE SWAP1 ADD DUP3 SLOAD DUP1
3, SWAP1 POP POP POP POP JUMPDEST POP SWAP5
3, POP POP JUMPDEST JUMPDEST JUMPDEST JUMPDEST POP SSTORE SWAP1 DUP2 POP
3, POP SWAP1 SWAP2 POP POP POP POP POP JUMPDEST POP SWAP6
3, POP SWAP1 SWAP2 JUMPDEST POP POP SWAP2 MLOAD MLOAD
3, POP SWAP1 SWAP2 JUMPDEST MLOAD DUP1 POP POP POP POP POP POP POP SWAP7 SWAP5 POP CALLDATACOPY DUP5 DUP3 DUP1 DUP3 DUP4 SWAP1 DUP2 SWAP2 ADD DUP5 SWAP2 SWAP3 SWAP2 SWAP4
3, POP POP POP POP POP POP POP POP SWAP8 SWAP9 JUMPDEST
3, POP SWAP1 SWAP2 JUMPDEST POP POP POP POP JUMPDEST
3, POP POP SSTORE SWAP1 OR SWAP2 SWAP1 SWAP2 AND NOT
3, POP POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP1
3, POP POP POP POP POP POP POP POP POP CALLDATACOPY DUP5 DUP3 DUP1 DUP3 DUP4 SWAP1 DUP2 SWAP2 ADD DUP5 SWAP2 SWAP3 SWAP2 SWAP4
3, POP POP POP POP POP POP SWAP6 SWAP7 DIV SUB SWAP1 MOD DUP2 DUP2 POP POP POP JUMPDEST POP SWAP4 MOD DUP8 DUP6 JUMPDEST
3, JUMPDEST POP POP SSTORE
3, POP POP LOG1
3, POP POP SWAP2 SWAP3 ADD NOT
3, POP POP POP POP POP POP SWAP6 SWAP7 POP JUMPDEST POP POP POP POP POP POP LOG1 SWAP1 ADD
3, SWAP2 SWAP1 POP SWAP1 CODECOPY ADD DUP4 SWAP1
3, POP POP POP POP POP POP POP POP SWAP8 SWAP9 JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
3, POP JUMPDEST SSTORE
3, POP SWAP5 SWAP3 SWAP1 SWAP6 SWAP4 SWAP2 POP JUMPDEST
3, POP POP JUMPDEST POP SWAP1 POP ADD
3, POP POP JUMPDEST RETURN SWAP1 SUB SWAP2 DUP1 MLOAD
3, POP SSTORE SHA3 DUP2 SWAP1 MSTORE SWAP1 ADD SWAP4 SWAP1
3, POP SSTORE SWAP1 EXP
3, POP POP JUMPDEST POP POP POP SWAP2 CALL SUB GAS
3, SWAP1 JUMPDEST MUL TXGASPRICE GASLIMIT JUMPDEST
3, POP POP POP POP SWAP4 SWAP5 JUMPDEST POP POP POP POP SWAP4 JUMPDEST
3, POP POP POP POP POP SWAP5 SWAP6 JUMPDEST POP POP POP POP LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
3, POP SWAP1 SWAP2 POP POP POP JUMPDEST RETURN DUP1 MSTORE
2, POP POP SWAP2 SWAP3 POP POP JUMPDEST POP SWAP3 SLOAD ADD SHA3 SWAP2 SWAP1
2, POP POP POP SWAP3 SWAP4 POP POP JUMPDEST POP SWAP3 DUP2 JUMPDEST
2, POP POP POP SWAP3 SWAP4 POP POP POP POP POP POP POP JUMPDEST POP SWAP8
2, DUP5 AND SWAP2 AND DUP2 SWAP1 SUB EXP
2, POP POP SWAP2 SWAP3 JUMPDEST POP POP POP POP POP SWAP5
2, POP JUMPDEST POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP1 DUP4 SWAP2 AND SUB EXP
2, POP POP POP POP SWAP4 POP SWAP6 AND POP SWAP9 POP SWAP11 AND DUP3 SWAP4 SWAP12 AND DUP3 SWAP2 SUB EXP
2, POP SWAP1 SWAP2 LOG1 POP POP POP SWAP4 POP CALL
2, POP POP POP POP POP JUMPDEST LOG1 SWAP1
2, POP POP POP POP SWAP4 SWAP5 POP POP JUMPDEST JUMPDEST
2, POP SWAP1 SWAP2 POP POP POP JUMPDEST POP SWAP4 DUP2 JUMPDEST RETURN SWAP1 ADD
2, POP POP POP POP POP POP POP POP POP POP POP POP POP JUMPDEST
2, JUMPDEST POP SSTORE POP SWAP1 SWAP2 SUB SWAP1
2, POP POP POP POP SWAP4 SWAP5 POP POP POP POP POP JUMPDEST POP SWAP6 SUB DUP8 DUP2 SSTORE SWAP1 OR SWAP2 SWAP1 SWAP2 MUL
2, POP POP POP POP SWAP4 SWAP5 JUMPDEST SSTORE SWAP1 OR CALLER AND NOT SUB EXP
2, POP POP POP POP POP JUMPDEST POP POP JUMPDEST
2, POP POP JUMPDEST POP POP POP POP CALL SUB GAS
2, POP POP POP JUMPDEST POP POP POP SSTORE POP
2, POP POP POP SWAP3 SWAP4 POP POP POP POP POP POP JUMPDEST POP SWAP7 AND SUB EXP
2, DUP2 MUL DIV SWAP1 DUP2 SWAP1 EXP
2, POP SSTORE SWAP1 SUB SWAP1 DUP3 SLOAD DUP1 SHA3 SWAP1
2, POP POP POP POP POP POP JUMPDEST SSTORE SWAP1 SUB SWAP1 DUP4 SLOAD DUP1
2, SWAP1 POP POP POP JUMPDEST POP SWAP4 DUP3 POP JUMPDEST
2, POP POP POP POP POP POP SWAP6 SWAP7 SWAP2 POP JUMPDEST
2, POP SWAP7 SWAP5 SWAP3 SWAP1 SWAP8 SWAP6 SWAP4 SWAP2 POP POP POP POP POP POP SWAP6 SWAP4 POP JUMPDEST POP SWAP1
2, SWAP1 POP POP POP POP JUMPDEST
2, POP JUMPDEST SSTORE SWAP1 ADD CALLVALUE SLOAD DUP1
2, POP POP POP JUMPDEST JUMPDEST JUMPDEST
