Frequency, Chain
18, POP SWAP1 SWAP2 POP JUMPDEST RETURN POP POP POP SWAP4 POP CALL
18, POP POP SWAP2 POP SWAP4 POP SWAP6 SWAP1 POP SWAP8 POP SWAP10 SWAP4 SWAP11 SWAP2 MLOAD ADD SWAP4 SWAP1
18, POP SWAP1 SWAP2 POP POP POP POP POP JUMPDEST JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
18, POP POP SWAP2 SWAP3 POP POP POP JUMPDEST POP SWAP4
18, POP POP SWAP2 SWAP3 POP JUMPDEST JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
18, POP POP SWAP2 SWAP3 POP JUMPDEST POP SWAP2
17, JUMPDEST JUMPDEST POP SSTORE SWAP1 DUP2 POP
17, POP POP POP JUMPDEST POP SSTORE SWAP1 DUP2 POP
17, JUMPDEST JUMPDEST POP SSTORE POP SWAP1 SWAP2 ADD
17, POP LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
17, POP SWAP1 SWAP2 JUMPDEST POP DUP1 POP SWAP1 SLOAD POP
17, POP SWAP1 SWAP2 JUMPDEST POP SWAP1 JUMPDEST
17, DUP6 POP SWAP1 SLOAD POP
17, POP POP JUMPDEST SSTORE SWAP1 DUP2 SHA3 SWAP1
17, JUMPDEST POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP1 CALLVALUE SWAP1
17, SWAP1 POP POP JUMPDEST JUMPDEST JUMPDEST
17, POP SSTORE SHA3 SWAP1
17, SWAP1 JUMPDEST AND
16, DUP2 SLOAD POP SWAP1 POP SWAP2 JUMPDEST
16, POP POP POP SWAP3 SWAP4 POP POP JUMPDEST POP SWAP3 SLOAD DUP1 JUMPDEST
16, DUP4 SWAP1 SWAP2 AND SWAP2 SWAP1
16, SWAP1 POP SWAP1 JUMPDEST RETURN SWAP1 SUB SWAP2 DUP1 MLOAD
16, POP SWAP1 SWAP2 JUMPDEST POP POP POP SSTORE POP
16, POP POP POP SWAP3 SWAP4 JUMPDEST SGT DUP4 DUP1 POP
16, POP POP POP SWAP3 SWAP4 JUMPDEST POP POP JUMPDEST
16, POP POP POP POP POP POP POP POP POP POP POP POP POP SWAP13 SWAP14 SWAP1 POP JUMPDEST
16, POP POP JUMPDEST JUMPDEST POP POP POP POP POP SWAP4 CALL DUP9 DUP9 DUP6 DUP2 SUB DUP4 DUP1 MLOAD
16, POP POP POP POP POP POP SWAP6 SWAP7 JUMPDEST POP POP POP POP POP LOG1 SWAP1 ADD
16, POP JUMPDEST POP SWAP1 POP ADD
16, DUP2 AND DIV SWAP2 SWAP1 EXP
16, SWAP1 POP POP POP POP POP POP POP JUMPDEST POP SWAP8
16, POP POP SWAP2 SWAP3 POP SWAP1 ADD DIV SWAP1 EXP
16, POP POP POP POP SWAP4 SWAP5 JUMPDEST POP POP JUMPDEST
16, POP POP POP POP SWAP4 SWAP5 POP JUMPDEST POP SSTORE SWAP1 DUP2 POP
16, POP POP POP POP POP SWAP5 SWAP6 JUMPDEST
16, POP POP POP POP JUMPDEST POP SSTORE SWAP1 DUP2 POP POP SWAP3 ADD SLOAD POP DUP3 DUP3 DUP3
15, POP POP POP POP POP POP POP POP POP POP POP POP SWAP12 SWAP13
15, SWAP1 MSTORE SWAP1
15, JUMPDEST POP SSTORE SWAP1 DUP2 POP SWAP1 SWAP2 ADD
15, JUMPDEST SSTORE SWAP1 ADD CALLVALUE SLOAD DUP1
15, SWAP1 POP POP JUMPDEST POP SWAP3
15, POP POP JUMPDEST POP POP ADD
