Contract ID, Instructions, Jumps, Unprocessed Jumps, UJ/I, UJ/J,698.2957566,28.87653374,4.67446319,0.006866071,0.142822481
0xad8d3a5d2d92eb14bb56ca9f380be35b8efe0c04,331,15,4,0.012085,0.266667,,,,,
0x709013617bb52c49003a9c8f3035ef9ec9912b17,629,40,7,0.011129,0.175,,,,,
0xe6391fff899cfccc80e19b7ba39bbee15393554e,255,10,2,0.007843,0.2,,,,,
0x7b2d5c63d3671092d3d44671717ea78018164661,98,9,1,0.010204,0.111111,,,,,
0x85cb4fab90bf67e2593891cbe75385eff0067188,148,9,2,0.013514,0.222222,,,,,
0x45109a940501da9c2f32db25fb40c23c5775a62c,615,32,5,0.00813,0.15625,,,,,
0x7aeb94b5db9ee3474f03b974adc40b409ac78f98,255,10,2,0.007843,0.2,,,,,
0x417705f7e5dba87c3db5ce00295027ae27bcae0f,30,2,1,0.033333,0.5,,,,,
0x1c523996cb7cb5b0a4a48d8097e45093626b23f0,331,15,4,0.012085,0.266667,,,,,
0x8f41cc0d0af401e9bea4ba12c58697affd826722,331,15,4,0.012085,0.266667,,,,,
0x90ab39213f1d947e2a3b8936ac37dca2556a9ece,265,12,2,0.007547,0.166667,,,,,
0x012a5642306b0deb8d65f281d289998223dfb7c7,255,10,2,0.007843,0.2,,,,,
0xb49180d443dc4ca6028de0031ac09337891fd8ce,255,10,2,0.007843,0.2,,,,,
0x305e14e760862d558d50271c353d388d094a6e8f,331,15,4,0.012085,0.266667,,,,,
0x08fa71df368d8ed1efb3822d9c06dd2530c12a14,255,10,2,0.007843,0.2,,,,,
0x3b4446acd9547d0183811f0e7c31b63706295f52,255,10,2,0.007843,0.2,,,,,
0x209711382eaeb6c1e021e0fc81acc5afa9b23d25,512,6,0,0,0,,,,,
0x98f47873a6b1558ec558f1ba3bc2546966d7e0ba,255,10,2,0.007843,0.2,,,,,
0x173926d7ecf7b3508ba7759c2ee536412c53eeec,255,10,2,0.007843,0.2,,,,,
0x14c1dc4170f3e9c9ee48e1c8dba89b9d5be51752,265,12,2,0.007547,0.166667,,,,,
0x8dd3da3fab45051ed2cd677c0e53c9de0011944c,1068,66,10,0.009363,0.151515,,,,,
0x491756ee26d3ec290f86e06375939c909e8a4575,154,9,2,0.012987,0.222222,,,,,
